taxonomy	SM.03_01	SM.03_03	SM.04_01	SM.04_03	SM.08_01	SM.08_02	SM.08_03	SM.08_04	SM.08_05	SM.08_09	SM.08_13	SM.09_01	SM.09_03	SM.11_01	SM.11_03	SM.12_01	SM.12_03	SM.13_01	SM.13_03	SM.17_01	SM.17_03	SM.30_01	SM.30_03	SM.31_01	SM.31_03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA	0.12122	0.04922	0.01303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00749	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_caecimuris	0.11816	0.69077	0.00082	0.04806	0.00728	0.00688	0	0	0	0	0	0	0	0.31605	0.3981	0.02863	0.03084	0.23108	0.09562	2.74133	4.22419	1.81881	4.42456	0.21417	1.88588
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta	0.11641	0.19638	0	0	0.01466	0.37636	0.1687	0.09352	0.278	0.00982	0.00046	0	0	0.07009	0.27884	0.00077	0.01759	0.00951	0.26908	2.10005	1.51431	0.95438	3.51181	0.02187	0.10982
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii	0.10747	0.06127	0.00506	0.00542	21.83777	0.16824	5.57964	1.84113	7.99725	4.38015	6.62589	14.80464	3.73584	0.07141	0.03697	0.02298	1.67009	0.00784	0.01171	0.62426	8.379	0.00026	0	9.23779	0.77516
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB4121	0.10214	0.0914	0.07642	0.11378	0	0	0	0	0.01946	0	0	0.10085	0.07711	0.05931	0.09609	0.10016	0.14651	0	0	0.02929	0.02674	0.10341	0.14015	0.09514	0.12333
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	0.10151	0.27191	0.04798	0.17187	0.09553	0.15363	0.18907	0.28358	0.89078	0.61506	0.34594	0.02456	0.04284	0.6965	0.54978	0.30533	0.11374	1.34924	1.06244	0.30167	0.27623	0.31006	0.07894	0.23382	0.10079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.09874	0.11953	0.31849	0.40635	0	0	0	0	0	0.06972	0.07295	0.23537	0.65939	0.06268	0.04434	0.01505	0.05808	0.12169	0.15595	0.01291	0.28662	0	0	0.03819	2.03628
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9640|s__GGB9640_SGB15115	0.09847	0.14637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalimonas|s__Faecalimonas_umbilicata	0.08993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75002	0.11157	0.09887	0.1417	0	0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507|g__GGB3819|s__GGB3819_SGB5184	0.08944	0.08816	0.01278	0.05964	0	0	0	0	0	0	0	0	0	0.04798	0.05781	0.06243	0.09745	0	0	0	0	0.01074	0.05008	0.01816	0.00196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Rheinheimera|s__Rheinheimera_SGB14999	0.08144	0.06173	0	0	0	0	0	0	0	0	0.00387	0	0	0.0718	0	0.02912	0.0087	0.02892	0	0	0	0.04459	0.04311	0.01622	0.00106
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	0.07956	0.11365	0.13377	0.13369	0	0.00232	0	0.00807	0.00626	0	0.01502	0.04046	0.02768	0.27995	0.00772	0.05936	0.13988	0.0214	0.02007	0.0054	0.02362	0.00792	0.03043	0.0715	0.0182
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102|f__FGB76102|g__GGB3548|s__GGB3548_SGB4744	0.07935	0.12495	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11637	0.01786	0	0	0.68069	0.03385	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_butyricum	0.07575	0.13628	0	0.00451	0.00135	0.14594	0.02171	0.02373	0.03531	0.00758	0.00701	0.00691	0	0.02132	0.07741	0.01222	0.04466	0.01183	0.01073	0.0403	0.02669	0.28989	0.00465	0.09741	0.00681
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_amygdalina	0.06297	0	0.14715	0	0	0	0	0	0	0	0	0	0.01266	0	0	0	0	0.00823	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_SGB15295	0.06203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
